NODCCODE,Scientificname,Commonname
8776015016,Notropis melanostomus,Blackmouth Shiner
8776015099,Notropis amplamala,Longjaw Minnow
8776017600,Cyprinella spp.,Shiners
8776017605,Cyprinella callitaenia,Bluestripe Shiner
8776017612,Cyprinella leedsi,Bannerfin Shiner
8776017621,Cyprinella venusta,Blacktail Shiner
8776017800,Luxilus spp.,.
8776017804,Luxilus chrysocephalus,Striped Shiner
8776017809,Luxilus zonistius,Bandfin Shiner
8776017900,Lythrurus spp.,.
8776017902,Lythrurus atrapiculus,Blacktip Shiner
8776018000,Macrhybopsis spp.,Florida Chub
8776018200,Opsopoeodus spp.,.
8776018201,Opsopoeodus emiliae,Pugnose Minnow
8776018900,Pteronotropis spp.,.
8776018903,Pteronotropis hypselopterus,Sailfin Shiner
8776018904,Pteronotropis signipinnis,Flagfin Shiner
8776018905,Pteronotropis welaka,Bluenose Shiner
8776018906,Pteronotropis grandipinnis,Apalachee Shiner
8776018999,Pteronotropis metallicus,Metallic Shiner
8776040000,Catostomidae spp.,.
8776040200,Carpiodes spp.,.
8776040201,Carpiodes cyprinus,Quillback
8776040203,Carpiodes velifer,Highfin Carpsucker
8776040300,Erimyzon spp.,.
8776040301,Erimyzon sucetta,Lake Chubsucker
